OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;1;28453232;2.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;2;28453232;2.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;3;28453232;2.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;4;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;5;28453232;2.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;6;28453232;2.17
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;7;28453232;2.09
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;8;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;9;28453232;2.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;10;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;11;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;12;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;13;28453232;2.1
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;14;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Actual;15;28453232;2.09
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Warmup;1;28453232;13.21
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Warmup;2;28453232;13
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Warmup;3;28453232;10.51
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Warmup;4;28453232;10.51
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Warmup;5;28453232;10.72
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;1;28453232;11.17
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;2;28453232;11.11
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;3;28453232;10.91
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;4;28453232;10.9
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;5;28453232;10.84
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;6;28453232;10.84
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;7;28453232;10.97
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;8;28453232;11.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;9;28453232;10.9
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;10;28453232;10.94
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;11;28453232;11.21
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;12;28453232;10.95
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;13;28453232;10.84
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;14;28453232;11.2
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Actual;15;28453232;10.9
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;1;28453232;9.09
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;2;28453232;9.03
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;3;28453232;8.83
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;4;28453232;8.82
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;5;28453232;8.76
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;6;28453232;8.76
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;7;28453232;8.89
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;8;28453232;9.01
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;9;28453232;8.82
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;10;28453232;8.86
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;11;28453232;9.13
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;12;28453232;8.87
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;13;28453232;8.76
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;14;28453232;9.12
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Result;15;28453232;8.82
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Jitting;1;1;290800
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Jitting;1;1;18388900
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Jitting;2;16;23837.5
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Jitting;2;16;19162.5
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;1;16;93.75
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;2;3200000;11.78
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;3;25458736;11.01
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;4;27246240;10.55
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;5;28438400;10.51
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;6;28536960;10.49
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;7;28589168;10.55
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;8;28438384;10.54
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;9;28452880;10.55
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;10;28446528;10.54
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Pilot;11;28460976;10.55
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;1;28460976;2.93
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;2;28460976;2.93
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;3;28460976;2.59
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;4;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;5;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;6;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;7;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;8;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Warmup;9;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;1;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;2;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;3;28460976;2.22
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;4;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;5;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;6;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;7;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;8;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;9;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;10;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;11;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;12;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;13;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;14;28460976;2.21
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Overhead;Actual;15;28460976;2.2
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Warmup;1;28460976;10.51
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Warmup;2;28460976;10.52
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Warmup;3;28460976;10.5
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Warmup;4;28460976;10.81
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Warmup;5;28460976;10.53
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;1;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;2;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;3;28460976;10.59
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;4;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;5;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;6;28460976;10.59
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;7;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;8;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;9;28460976;10.59
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;10;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;11;28460976;10.61
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;12;28460976;10.59
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;13;28460976;10.61
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;14;28460976;10.58
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Actual;15;28460976;10.61
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;1;28460976;8.37
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;2;28460976;8.37
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;3;28460976;8.39
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;4;28460976;8.37
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;5;28460976;8.37
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;6;28460976;8.39
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;7;28460976;8.37
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;8;28460976;8.37
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;9;28460976;8.38
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;10;28460976;8.38
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;11;28460976;8.41
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;12;28460976;8.38
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;13;28460976;8.4
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;14;28460976;8.37
Win32NT;DllImport;Empty_IntArray;.NET 8.0;array=Int32[1000];Workload;Result;15;28460976;8.4
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Jitting;1;1;295200
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Jitting;1;1;1228600
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Jitting;2;16;15687.5
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Jitting;2;16;15293.75
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;1;16;81.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;2;3692320;14.65
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;3;20475968;13.37
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;4;22440976;10.14
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;5;29591728;10.14
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;6;29597584;10.15
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;7;29558512;10.14
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;8;29592912;10.14
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Workload;Pilot;9;29588592;10.15
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;1;29588592;2.95
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;2;29588592;2.95
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;3;29588592;2.64
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;4;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;5;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;6;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;7;29588592;2.31
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;8;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;9;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Warmup;10;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Actual;1;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Actual;2;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Actual;3;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Actual;4;29588592;2.25
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 8.0;array=Int32[1000];Overhead;Actual;5;29588592;2.25
